reference,contents
15.1:25.12.1,"εἰ δὲ πλυθείη καυθεῖσα, ἀποτίθεται μὲν τὸ δριμύ, τὸ δ' ἐκ τῆς ὀπτήσεως"
15.1:25.13.1,"Ἔστι δὲ καὶ ἄλλη γῆ ἰπνῖτις ὀνομαζομένη, κατὰ μὲν τὴν ὅλην δύναμιν ἐοικυῖα τῇ Κιμωλίᾳ,"
15.1:25.14.1,"Ἔστι δὲ καὶ ἄλλη τις ἐξ Ἀρμενίας τῆς ὁμόρου Καππαδοκίας γῆ ξηραντικωτάτη, τὴν"
15.1:25.15.1,"ὀνομάζεται δὲ τῇ μὲν ἐκείνων φωνῇ ζάρινα, κατὰ δὲ τὴν Συρίαν ζάρναχα, τὸ δ' ὄρος ἐν ᾧ γεννᾶται πόλεώς ἐστιν ὀνομαζομένης Βαγαουάνα, ὁ δ' ἀγρὸς ἐν ᾧ τὸ"
15.1:25.16.1,"Καὶ αὐτὴν μὲν οὖν τὴν ἄμικτον γῆν ἄλλῃ τινὶ τῶν ἑτερογενῶν οὐσιῶν ξηραντικῆς ἀδήκτως εἶναι δυνάμεως νομιστέον· ἐπεὶ δ' ἀδύνατόν ἐστιν ἄμικτον εὑρεῖν ἀκριβῶς τι σῶμα, προσεπι σκέπτεσθαι χρὴ τὴν μῖξιν ἐκ τῶν συμβεβηκότων αὐτῇ κατά τε τὰς ἐν κουφότητι καὶ βαρύτητι διαφορὰς καὶ τὰς ἐν τῇ γεύσει· στύψεως μὲν γάρ τινος ἔμφασιν ἔχουσα τοσοῦτον προσείληφε ψύξεως ὅσον καὶ στύψεως· εἰ δὲ δριμύτητος ἐμφαίνοιτό τι, τοσοῦτον ἕξει θερμότητος"
15.1:25.17.1,"ὡσαύτως δ' ἐπὶ τῆς κούφης τε καὶ βαρείας σκοπεῖ σθαι, τῆς μὲν κούφης τοιαύτης γινομένης, ὅταν ἀερώδους οὐσίας μετέχῃ δαψιλοῦς ἐν τῇ δι' ὅλης ἑαυτῆς κράσει, τῆς δὲ βαρείας, ὅσῳπερ ἂν ᾖ μᾶλλον τοιαύτη, τοσούτῳ μᾶλλον εἰλικρινεστέρας γῆς ὑπαρχούσης."
15.1:25.18.1,15.1:26.t.1 Περὶ λίθων.
15.1:26.1.1,"Ὁ μὲν αἱματίτης λίθος τοσοῦτον μετέχει ψύξεως ὅσον καὶ στύ ψεως· ὁ δὲ μελιτίτης συμμέτρου θερμότητος διὰ τὴν σύμμετρον γλυκύ Book 15, chapter 1:26, section 2, line 1 τητα· μέσην δ' ἀμφοῖν κρᾶσιν ὁ γαλακτίτης ἔχει."
15.1:26.1.1,"Τῷ δ' αἱματίτῃ λίθῳ παραπλησίαν μέν, ἀσθενεστέραν δὲ δύναμιν ὁ σχιστὸς καλού"
15.1:26.3.1,"Κοινοῦ δὲ τοῦ ξηραίνειν ὑπάρχοντος ἅπασι τοῖς λίθοις, ὅσοι μὲν αὐτῶν εἰς χυλὸν λυθέντες οὐδεμίαν ἐναργῆ κατὰ τὴν γεῦσιν ἔχουσι ποιότητα, τούτους μὲν ἡγητέον ἀσθενεστάτους καὶ ἀδηκτοτά τους, ὅσοι δὲ φαίνονται σαφῆ τινα ποιότητα κατὰ τὴν γεῦσιν ἐν δεικνύμενοι, τῆς ποιότητος ἀνάλογον ἔχειν τὴν ἰσχύν, εἰ μὲν στύφοιεν, εἰς τὸ καταστεῖλαι καὶ σφίγξαι καὶ πιλῆσαι καὶ συναγαγεῖν, εἰ δὲ δάκνοιεν, εἰς τὸ θερμῆναί τε καὶ διαφορῆσαι καὶ τῆξαι· μέσοι δ' αὐτῶν"
15.1:26.4.1,"ὁ μὲν οὖν αἱμα τίτης καὶ ὁ σχιστὸς καὶ ὁ γαλακτίτης ὅ τε μελιτίτης εἰς χυλὸν ἀναλύ ονται παρατριβόμενοι θυείαις καὶ ἀκόναις, ὄντων καὶ ἄλλων εἰς χυλὸν λυομένων λίθων, ὥσπερ καὶ οὗτος ὁ κατ' Αἴγυπτον γεννώμενος, ᾧ χρῶνται στιλπνοῦντες τὰς ὀθόνας· ἔστι δ' ἀποιότερος τῶν εἰρημένων, οὔτε στῦψιν οὔτε ῥύψιν οὔτε δῆξιν ἐμφαίνων, ὅθεν αὐτὸ δὴ τοῦτο"
15.1:26.5.1,Ἁπάντων δὲ τῶν εἰρημένων λίθων ἰσχυροτέραν ἔχει τὴν δύναμιν ὁ ἐκ τῆς Αἰθιοπίας
15.1:26.6.1,"οὗτος ὁ λίθος εἰς χυλὸν γαλακτώδη κατὰ τὴν χρόαν ἀνίεται, δακνώδης δ' ὑπάρχει γευομένοις."
15.1:26.7.1,Ἔστι δὲ καὶ ἄλλος λίθος ἰσχυρὸς τὴν δύναμιν ἐν τῇ Παλαιστίνῃ Συρίᾳ
15.1:26.8.1,Εἷς τῶν ἰσχυρὰν δύναμιν
15.1:26.9.1,καθόλου δ' οἱ δριμεῖς χρήσιμοι πρὸς τὸ ῥύψαι τε καὶ ἀποσμῆξαι καὶ ἀφελεῖν λεπτῦναί τε καὶ διαφορῆσαι καὶ
15.1:26.10.1,"Ταύτης τῆς δυνάμεως ἔχεται καὶ ὁ Φρύγιος· ξηραίνει γὰρ ἰσχυρῶς, ἔχων τι καὶ στύψεως ἅμα καὶ δήξεως."
15.1:26.11.1,"Ἔστι δὲ καὶ ὁ ἀγήρατος καλούμενος λίθος μικτῆς δυνάμεως, στυπτικῆς"
15.1:26.12.1,Τὸ δὲ τῆς Ἀσσίας πέτρας ἄνθος λεπτομερές
15.1:26.13.1,"ὁμοίαν δ' αὐτῷ δύναμιν ἔχουσα καὶ ἡ πέτρα, καθ' ἣν γεννᾶται, τῷ σφοδρῷ τῆς ἐνερ γείας ἀπολείπεται· πλεονεκτεῖ γὰρ αὐτῆς τὸ ἄνθος <οὐ> μόνον τῷ μᾶλλον ἐκτήκειν τε καὶ διαφορεῖν καὶ ταριχεύειν, ἀλλὰ καὶ τῷ χωρὶς"
15.1:26.14.1,"ἔχει δέ τι καὶ ἁλμυρὸν ἐν τῇ γεύσει τουτὶ τὸ τῆς Ἀσσίας πέτρας ἄνθος, ὡς εἰκάσαι τὴν γένεσιν ἴσχειν αὐτό, δρόσου τινὸς ἐκ τῆς θαλάσσης ἐφιζανούσης τῇ πέτρᾳ κἄπειτα"
15.1:26.15.1,"Τῶν λίθων δ' ἐστὶ μία καὶ ἡ μαγνῆ τίς τε καὶ Ἡρακλεία καλουμένη, παραπλησίαν ἔχουσα τῷ αἱματίτῃ τὴν"
15.1:26.16.1,"Ὅ γε μὴν Ἀράβιος καλούμενος λίθος, ἐοικὼς ἐλέφαντι,"
15.1:26.17.1,Καὶ ὁ ἀλαβαστρίτης
15.1:26.18.1,Καὶ ἡ καλου
15.1:26.19.1,"Εἰ δὲ καὶ ἡ κίσηρις ἐν τοῖς λίθοις ἀριθμεῖται, καὶ αὕτη τῆς αὐτῆς ἐστι δυνάμεως ὅσον ἐπὶ τῷ ῥύπτειν, ὥσπερ γε τὸ ἐκ τῶν κεραμίδων ὄστρακον, ἔτι τε μᾶλλον αὐτοῦ τὸ ἐκ τῶν κλιβάνων· ἀλλ' ἥ γε σμύρις ἔχει τι καὶ δριμύ, καὶ διὰ τοῦτό τινες αὐτὴν μιγνύουσι καυστικαῖς τε καὶ ξηραντικαῖς δυνά"
15.1:26.20.1,καυθεῖσα δὲ κίσηρις οὐκ ἀπολείπεται σμύρεως εἰς τὰς αὐτὰς
15.1:26.21.1,"Εἰσὶ δὲ καὶ οἱ ἐν τοῖς σπόγγοις εὑρισκόμενοι λίθοι θρυπτι κῆς δυνάμεως οὐκ ἰσχυρᾶς, ὥσπερ καὶ οἱ ἐκ γῆς Καππαδοκίας, οὓς ἐν"
15.1:26.22.1,"λύονται δ' εἰς χυλὸν οὗτοι γαλακτώδη κατὰ τὴν χρόαν, ὥστε εὔδηλον ὅτι λεπτυντικῆς εἰσι δυνάμεως ἄνευ"
15.1:26.23.1,"Τὸν δ' ὀστρακίτην ὀνομαζόμενον λίθον ἐπαινούντων ἀκούω τινῶν, ὡς ξηραντικὴν ἱκανῶς ἔχοντα δύναμιν ἐκ στύψεώς τε καὶ δριμύτητος ἐπιμεμιγμένων, ὥσπερ γε καὶ τὸν καλού"
15.1:26.24.1,Τό γε μὴν τῆς Ναξίας ἀκόνης ἀπότριμμα
15.1:26.25.1,"Καὶ ὁ ὀφίτης δὲ καλούμενος λίθος ῥυπτι κῆς τε καὶ θρυπτικῆς ἐστι δυνάμεως, ὥσπερ καὶ ἡ ὕαλος· ἱκανῶς γὰρ καὶ αὕτη θρύπτει πινομένη δι' οἴνου λευκοῦ καὶ λεπτοῦ τοὺς ἐν κύστει"
15.1:26.26.1,"Ἰδιότητα δέ τινες ἐνίοις λίθοις μαρτυροῦσι τοιαύτην οἵαν ὄντως ἔχει καὶ ὁ χλωρὸς ἴασπις, ὠφελῶν τόν τε στόμαχον καὶ τὸ τῆς"
15.1:26.27.1,"τούτου μὲν οὖν τοῦ λίθου κἀγὼ πεῖραν  ἱκανὴν ἔχω, καὶ ὁρμάθιόν γέ τι ποιήσας ἐκ λιθιδίων τοιούτων ἐξῆπτον τοῦ τραχήλου σύμμετρον οὕτως ὡς ψαύειν τοὺς λίθους τοῦ στόματος"
15.1:26.28.1,τὸν δ' ὀφίτην λίθον ἀνὴρ ἀξιόπιστος ὄντως ἔφη τοὺς ἐχεοδήκτους ὠφελεῖν περιαπτόμενον. 15.1:27.t.1 Περὶ τῶν μεταλλικῶν.
15.1:27.1.1,"Ἅλες οἵ τε ὀρυκτοὶ καὶ οἱ ἐκ τῆς θαλάσσης δύναμιν ἔχουσι παραπλησίαν ἀλλήλοις, μικτὴν ἐκ δυοῖν ποιοτήτων ῥυπτικῆς τε καὶ στυπτικῆς· ὅτι δ' ἱκανῶς ἀμφότεραι ξηραίνουσι, δέδεικται σαφῶς"
15.1:27.2.1,διαφέρουσι δὲ τῷ μᾶλλον πεπιλῆσθαι τὴν οὐσίαν τῶν ἐκ τῆς γῆς ἁλῶν· διὸ καὶ τὸ παχυμερές τε καὶ τὸ στῦφον ἐν τούτοις μᾶλλόν
15.1:27.3.1,"Οἱ δὲ κεκαυμένοι τῶν ἁλῶν τὸ μὲν διαφορητικὸν μᾶλλον ἔχουσι τῶν ἀκαύστων, εἰς ὅσον αὐτῶν λεπτομερέστερον γίνεται τὸ σῶμα, οὐ μὴν ὁμοίως γε τοῖς ἀκαύστοις συνάγειν τε καὶ πιλεῖν τὴν"
15.1:27.4.1,Ἀρμενιακὸν δύναμιν ἔχει ῥυπτικὴν
15.1:27.5.1,"Ἀρσενικὸν καυστικῆς ἐστι δυνάμεως, ἄκαυστόν τε καὶ κεκαυμένον· εὔδηλον δ' ὅτι λεπτο"
15.1:27.6.1,"Ἀφρόλιτρον ἀφρονίτρου διαφέρει· λίτρου μὲν γὰρ ἀφρὸς ξηραντικόν ἐστι φάρμακον ἀλεύρῳ πυρίνῳ παραπλήσιος ὀφθῆναι· ἀφρόνιτρον δ' οὐκ ἀλευρῶδες οὐδὲ διακεχυμένον, ἀλλὰ πε πηγός ἐστι καὶ συνεστός, ᾧ πάντες οἱ ῥυπῶντες ἐν τοῖς βαλανείοις"
15.1:27.7.1,"ὁ δ' ἀφρὸς τοῦ λίτρου τῆς αὐτῆς μέν ἐστι φύσεως, λεπτομερεστέραν δ' ἔχει τὴν οὐσίαν, ἐν τῷ μεταξὺ δὲ κατὰ τὴν δύναμίν ἐστι τὸ λίτρον ἀφρονίτρου τε καὶ ἁλῶν· ἀφρονίτρῳ μὲν γὰρ ἡ ῥυπτικὴ δύναμις ὑπάρχει μόνη, τοῖς δ' ἁλσὶ καὶ ἡ στυπτική, τῷ λίτρῳ δ' ἀμφότεραι μέν εἰσιν, ἀλλ' ἐλαχίστη μὲν ἡ στυπτική, πολὺ πλείων δ' ἡ ῥυπτική."
15.1:27.8.1,"Γύψος πρὸς τῇ κοινῇ πάντων γεωδῶν τε καὶ λιθωδῶν σωμάτων δυνάμει, καθ' ἣν ἐλέγετο ξηραίνειν, ἔτι καὶ τοῦτο προσείληφεν· ἐμ"
15.1:27.9.1,"Καυθεῖσα δὲ γύψος τὸ μὲν ἐμπλαστικὸν οὐχ ὁμοίως ἔχει, λεπτομερεστέρα δὲ καὶ ξηραντικωτέρα γίνεται, καὶ μέντοι καὶ ἀποκρουστική, καὶ μάλιστα ὅταν ὀξυκράτῳ δευθῇ."
15.1:27.10.1,Διφρυγὲς μικτῆς ἐστι ποιότητος καὶ δυνάμεως· ἔχει γάρ τι καὶ στῦφον ἐν ἑαυτῷ καὶ δριμὺ μετρίως.
15.1:27.11.1,"Θεῖον ἅπαν ἑλκτικῆς ἐστι δυνάμεως, θερμὸν μὲν τῇ κράσει, λεπτο μερὲς δὲ κατὰ τὴν οὐσίαν ὑπάρχον."
15.1:27.12.1,"Ἰὸς δριμεῖαν ἔχει γευομένοις ποιότητα, διαφορητικός τε καὶ καθαιρετικὸς καὶ τηκτικὸς ὢν οὐχ ἁπαλῆς μόνον, ἀλλὰ καὶ σκληρᾶς σαρκός."
15.1:27.13.1,"Καδμεία ξηραντικῆς τε καὶ βραχείας ἐστὶ ῥυπτικῆς <δυνάμεως>, ἐν δὲ τῇ κατὰ θερμότητα καὶ ψῦξιν διαφορᾷ σύμμετρός πώς ἐστιν."
15.1:27.15.1,Κιννάβαρι δριμείας μετρίως δυνάμεώς ἐστιν· ἔχει δέ τι καὶ στύψεως.
15.1:27.16.1,"Κίσηρις ἔχει τι ῥυπτικόν· ἡ δὲ κεκαυμένη λεπτομερεστέρα γίνεται, ἀλλ' ἐν τῇ καύσει προσλαμβάνει τι δριμὺ καὶ ἀποτίθεται πάλιν αὐτὸ"
15.1:27.17.1,"Κύανος δριμείας ἐστὶ δυνάμεως, καθαιρετικῆς τε καὶ διαφορητικῆς πλείονος ἢ κατὰ τὸ κιννάβαρι· μετέχει δὲ καὶ στύψεως."
15.1:27.18.1,"Λεπὶς ἡ μέν τίς ἐστι χαλκοῦ, ἡ δέ τις σιδήρου τε καὶ στομώμα"
15.1:27.19.1,"ξηραίνουσι μὲν οὖν ἰσχυρῶς ἅπασαι, διαφέρουσι δ' ἀλλήλων αὐτῷ τε τῷ [κατὰ τὸ] ξηραίνειν ἧττόν τε καὶ μᾶλλον καὶ τῷ λεπτομερεστέρας ἢ παχυμερεστέρας οὐσίας εἶναι"
15.1:27.20.1,"ἡ μὲν οὖν τοῦ χαλκοῦ λεπὶς ἐν τῷ ξηραίνειν πρωτεύει (καὶ γὰρ λεπτομερεστέρα τῶν ἄλλων ἐστί, προσειληφυῖά τι καὶ ἰοῦ)· [καὶ] στύψεως δὲ πλείονος ἡ τοῦ"
15.1:27.21.1,"καθαιρεῖ δὲ καὶ τήκει σάρκα μᾶλλον ἡ τοῦ χαλκοῦ, ταύτης δ' ἔτι μᾶλλον ἡ"
15.1:27.22.1,"πᾶσαι δὲ λεπίδες δακνώδεις εἰσὶν οὐκ ἀγεννῶς, καὶ δῆλον ὡς ἡ τῆς οὐσίας αὐτῶν σύστασις οὐ πάνυ τι λεπτομερής ἐστιν, ἀλλὰ παχυμερὴς μᾶλλον· ἀδηκτότατον γὰρ ἀεὶ τῶν τὴν αὐτὴν δύναμιν"
15.1:27.23.1,"Λιθάργυρος ξηραίνει μὲν ὥσπερ καὶ τὰ ἄλλα πάντα μεταλλικά, μετριώτατά γε μὴν τοῦτο ποιεῖ, καὶ κατὰ τὰς ἄλλας δὲ ποιότητας καὶ δυνάμεις ἐν τῷ μέσῳ πώς ἐστιν, οὔτε θερμαίνουσα σαφῶς οὔτε ψύχουσα καὶ τοῦ ῥύπτειν τε καὶ στύφειν"
15.1:27.24.1,"τῆς μέσης οὖν τάξεως εἰκότως ἂν ἐν τοῖς μεταλ λικοῖς ὀνομάζοιτο· διὸ καὶ ὡς ὕλῃ χρώμεθα πολλάκις αὐτῇ, μιγνύντες τοῖς ἰσχυρὰν ἔχουσι δύναμιν, ἢ δάκνουσαν ἢ στύφουσαν ἢ ὁτιοῦν ἄλλο"
15.1:27.25.1,"Λίτρον ξηραίνει καὶ διαφορεῖ, καὶ εἰ ἔσω τοῦ σώματος ληφθείη, τέμνει καὶ λεπτύνει τοὺς παχεῖς χυμοὺς πολὺ μᾶλλον ἀφρολίτρου· μὴ μεγάλης δ' ἀνάγκης οὔσης, οὐδὲ καταπίνει τις ἀφρό λιτρον κακοστόμαχον ὄν, ἐπεί τοι μᾶλλόν ἐστι λίτρου τμητικόν."
15.1:27.26.1,Μελαντηρία τῶν στυφόντων ἐστὶν ἱκανῶς φαρμάκων μετὰ τοῦ καὶ λεπτομερὴς εἶναι σχεδὸν ἁπάντων τῶν στυφόντων μάλιστα.
15.1:27.26.1,"15.1:27.27,28.1 Μέλαν ᾧ γράφομεν· ἱκανῶς καὶ τοῦτο ξηραίνει."
15.1:27.26.1,"Τὸ μίσυ καὶ τὸ σῶρι καὶ ἡ χαλκῖτις ὁμογενοῦς εἰσι δυνάμεως, διαφέροντα λεπτομερείᾳ τε καὶ παχυμερείᾳ· παχυμερέστατον γὰρ ἐν αὐτοῖς τὸ σῶρι, λεπτο μερέστερον δὲ τὸ μίσυ, μέσην δ' ἀμφοῖν δύναμιν <ἡ> χαλκῖτις ἔχει."
15.1:27.29.1,"ἧττον δ' ἐν τῷ προσφέρεσθαι ταῖς γυμναῖς σαρξὶ δάκνει τὸ μίσυ τῆς χαλκίτιδος, καίτοι γε οὐχ ἧττον αὐτῆς ὂν θερμόν, ἀλλ' ἐκ τῆς κατὰ τὴν οὐσίαν λεπτομερείας ἔχει"
15.1:27.30.1,"Μολύβδαινα λιθαργύρῳ παραπλησίαν ἔχει δύναμιν, ἀπο κεχωρηκυῖα βραχύ τι τῆς μέσης κράσεως ἐπὶ τὸ ψυχρότερον, ἀλλ' οὐδὲ"
15.1:27.31.1,Μόλυβδος δυνάμεώς ἐστι στυπτικῆς καὶ ψυκτικῆς· ἔχει γὰρ οὐ μόνον ὑγρὰν οὐσίαν πολλὴν ὑπὸ ψύξεως πε
15.1:27.32.1,"ὅτι μὲν οὖν ὑγρὰν οὐσίαν ἔχει πλείστην, σημεῖον τόδε ἐστίν· μόλυβδος μόνος ὧν ἴσμεν αὔξεται καὶ ὄγκῳ καὶ σταθμῷ κατατιθέμενος ἐν οἴκοις καταγείοις ἀέρα θολερὸν ἔχουσιν, ὡς εὐρῶτος πληροῦσθαι ταχέως τὰ κατ' αὐτοὺς"
15.1:27.33.1,"καὶ ὁ κεκαυμένος δὲ μόλυβδος, ὅταν πλυθῇ, ψυκτικῆς γίνεται δυνάμεως· πρὶν πλυθῆναι δὲ μικτῆς ἐστι δηλονότι.   Ὄστρακον ῥυπτικῆς τε καὶ ξηραντικῆς ἐστι δυνάμεως, μάλιστα δὲ τὸ ἐκ τῶν κλιβάνων τῷ κατωπτῆσθαι."
15.1:27.35.1,"Πομφόλυξ φάρμακόν ἐστιν, εἰ πλυθείη, σχεδὸν ἁπάντων πρῶτον"
15.1:27.36.1,"ταύτην ἔχων τις οὐκ ἂν δεόντως σποδίῳ χρήσαιτο, μή τοί γε τῷ ἀντισποδίῳ."
15.1:27.37.1,Σανδαράκη καυστικῆς ἐστι δυνάμεως· εἰκότως οὖν ἔν τε ταῖς
15.1:27.38.1,Σάνδυξ ὁποίας
15.1:27.39.1,Σκωρία πᾶσα
15.1:27.40.1,"τὴν δὲ τοῦ ἀργύρου σκωρίαν ἰδίως προσαγορεύουσιν ἕλκυσμα, τῆς ξηραντικῆς"
15.1:27.41.1,Στίμμι· πρὸς τῇ κοινῇ δυνάμει τῇ ξηραντικῇ καὶ
15.1:27.42.1,"Στυπτηρία σφοδροτάτην ἔχει τὴν στῦψιν· παχυμεροῦς δ' οὔσης αὐτῆς, λεπτομερεστέρα πώς ἐστι τῶν ἄλλων στυπτηριῶν ἡ σχιστὴ καλουμένη, μετ' αὐτὴν δ' ἡ στρογγύλη καὶ ἀστραγαλωτή· παχυμερὴς δ' ἱκανῶς ἥ τε ὑγρὰ καὶ ἡ πλακῖτίς τε καὶ ἡ πλινθῖτις ὀνομαζομένη."
15.1:27.43.1,"Τίτανος ἡ μὲν ἄσβεστος καίει σφοδρῶς ὡς ἐσχάραν ποιεῖν, ἡ σβεσθεῖσα δὲ παραχρῆμα μὲν [οὐκ] ἐσχαροῖ, μεθ' ἡμέραν δὲ μίαν ἢ δευτέραν ἧττόν τε καίει καὶ ἧττον ἐσχαροῖ, μετὰ δὲ χρόνον οὐδ' ὅλως"
15.1:27.44.1,"εἰ δὲ πλυθείη, τὴν μὲν δῆξιν ἐναποτίθεται τῷ ὕδατι καὶ ποιεῖ τὴν καλου μένην κονίαν· αὕτη δ' ἀδήκτως ξηραίνει, καὶ εἰ δίς γε καὶ τρὶς καὶ πλεονάκις πλυθείη, τελέως ἄδηκτος γίνεται καὶ ξηραίνει γενναίως ἄνευ δήξεως."
15.1:27.45.1,"Χάλκανθος· θαυμαστὸν ἐπὶ τούτου τοῦ φαρμάκου, πῶς ἰσχυρο τάτῃ στύψει μέμικται θερμότης οὐκ ἀγεννής· δῆλον οὖν ὅτι ταριχεῦσαι μάλιστα πάντων δύναται τὰς ὑγρὰς σάρκας, ἐκδαπανῶσα μὲν τῇ θερ μότητι τὴν ὑγρὰν σάρκα, τῇ στύψει δὲ συνάγουσα καὶ πιλοῦσα τὴν"
15.1:27.46.1,"Χαλκῖτις μεμιγμένας ἔχει τήν τε στυπτικὴν καὶ δριμεῖαν δύναμιν, ἐπικρατεῖ δ' ἡ δριμεῖα σφοδρά τις οὖσα μέχρι τε τοῦ καίειν τὴν σάρκα καὶ τὴν καλουμένην ἐσχάραν ἐργάζεσθαι. καυθὲν δὲ τὸ φάρμακον δάκνει μὲν ἧττον, ξηραίνει δ' οὐχ ἧττον, ἀποτίθεται δὲ καὶ τῆς στύψεως οὐκ ὀλίγον, ὥστε πάντῃ κρείττων ἐστὶν ἡ κεκαυμένη χαλκῖτις τῆς ἀκαύστου, λεπτομερεστέρα μὲν γινομένη, δριμύτητα δ' οὐ"
15.1:27.48.1,μεμάθηκας δὲ καὶ ὅτι πάντα τὰ κεκαυμένα πλυνόμενα μετριώτερα καὶ ἀδηκτότερα γίνεται.
15.1:27.49.1,"Χαλκὸς κεκαυμένος ἔχει μέν τι καὶ δριμύ, καὶ στύψεως δὲ μετέχει."
15.1:27.50.1,Χαλκοῦ ἄνθος λεπτομερεστέρας ἐστὶ δυνάμεως τοῦ τε κεκαυμένου
15.1:27.51.1,"Χρυσοκόλλα· καὶ τοῦτο φάρμακον ἐκ τῶν τηκόντων σάρκας ἐστίν, οὐ μὴν ἰσχυρῶς γε δάκνει· διαφορητικὸν δ' ἱκανῶς ἐστι καὶ ξηραντικόν."
15.1:27.52.1,"Ψιμύθιον ἐμπλαστικόν τε καὶ ἐμψυκτικόν ἐστι, καιόμενον δ' εἰς τὸν καλούμενον σάνδυκα μεταβάλλει, λεπτομερέστερον ἑαυτοῦ φάρ"
15.1:27.53.1,"τὸ δέ γε φῦκος τὴν ψῦξιν τοῦ ψιμυθίου φυλάττον, λεπτομέρειαν προσείληφεν, ὡς δύνασθαι δι' αὐτῆς εἰς τὸ βάθος καταδύεσθαι τῶν ὁμιλούντων σωμάτων τὴν δύναμιν"
15.1:27.54.1,"Ψωρικὸν ξηραντικώτερόν τε ἅμα καὶ ἀδηκτότερόν ἐστι χαλ κίτεως καὶ δηλονότι καὶ λεπτομερέστερον. 15.2.t.1 Ἐκ τῶν Γαληνοῦ· περὶ τῆς ἀπὸ τῶν ζῴων ὠφελείας. 15.2.1.1 Γάλα τὸ ὑγιεινότατον τὸ μήτε πικρότητος μήτε ὀξύτητος μήτε ἁλυκότητος μήτε δριμύτητος μήτε δυσωδίας μετέχον ἡδύ τε καὶ βρα χεῖαν ἔχον γλυκύτητα πρὸς τὰ δριμέα καὶ δάκνοντα ῥεύματα συμφο ρώτατόν ἐστιν, οὐ μόνον ἀποπλῦνον αὐτά, ἀλλὰ καὶ περιπλαττόμενον 15.2.2.1 τοῖς σώμασιν, ὡς μὴ γυμνοῖς αὐτοῖς προσπίπτειν τὸ ἐπιρρέον. σύγ κειται γὰρ ἐκ τρ<ιῶν οὐσιῶν> σύμπαν γάλα, <ὀρώδους>, τυρώδους, 15.2.3.1 λιπαρᾶς."
15.1:27.54.1,"Ὁ μὲν οὖν ὀρὸς ῥυπτικὴν ἔχει δύναμιν, <ὅθεν περιρ>ρύπτει τε καὶ <περιπλύνει> τὰς δριμύτητας ἀδήκτως· τὸ δὲ τυρῶδες καὶ παχὺ τοῦ γάλακτος ἐμπλάττεται καὶ κατὰ τοῦτο τὰς δριμύτητας ἀμ 15.2.4.1 βλύνει. τὸ δ' ὅλον, ἁπλῶς ὡς εἰπεῖν, γάλα παρηγορικόν ἐστι φάρμα κον, ἄδηκτον μὲν ἔχον καὶ τὴν ὅλην οὐσίαν, πολὺ δὲ μᾶλλον, ὅταν ἐκδαπανήσωμεν αὐτῆς ἑψήσει μετρίᾳ τὸ πλέον τῆς ὀρώδους ὑγρό 15.2.5.1 τητος."
