term_key,preferred_display,lemma_normalized,labels,is_multiword,head_lemma_normalized,variant_place_lemma_normalized,source_count,entry_count,occurrence_count,text_sources,author_groups,result_runs,confidence_avg,status
αγριολον,ἀγρίολον,αγριολον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγριον ηδυοσμον,ἄγριον ἡδύοσμον,αγριον ηδυοσμον,SUBSTANCE:1,true,ηδυοσμον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.880,draft
αγριον λαπαθον,ἄγριον λάπαθον,αγριον λαπαθον,SUBSTANCE:4,true,λαπαθον,,3,4,4,AET_LM;GAL_SMT;PAUL_AEG,Aetius;Galen;Paul,entries_full_v3;paul_full_v3,0.747,draft
αγριον πηγανον,ἄγριον πήγανον,αγριον πηγανον,SUBSTANCE:1,true,πηγανον,,1,1,1,AET_LM,Aetius,entries_full_v3,0.860,draft
αγριον πρασον,ἄγριον πρᾶσον,αγριον πρασον,SUBSTANCE:1,true,πρασον,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.600,draft
αγριοριγανος,ἀγριορίγανος,αγριοριγανος,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
αγριος,ἄγριος,αγριος,SUBSTANCE:4,false,,,3,4,4,DIOSC_DMM;GAL_SMT;PAUL_AEG,Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.643,draft
αγριος ευζωμον,ἄγριος εὔζωμον,αγριος ευζωμον,SUBSTANCE:1,true,ευζωμον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
αγριος ηδυοσμος,ἄγριος ἡδύοσμος,αγριος ηδυοσμος,SUBSTANCE:1,true,ηδυοσμος,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.820,draft
αγριος θερμος,ἄγριος θέρμος,αγριος θερμος,SUBSTANCE:1,true,θερμος,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.850,draft
αγριος κοκκυμηλον,ἄγριος κοκκύμηλον,αγριος κοκκυμηλον,SUBSTANCE:1,true,κοκκυμηλον,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.800,draft
αγριος ναρδος,ἄγριος νάρδος,αγριος ναρδος,SUBSTANCE:1,true,ναρδος,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγριος ονος,ἄγριος ὄνος,αγριος ονος,SUBSTANCE:1,true,ονος,,1,1,1,AET_LM,Aetius,entries_full_v3,0.850,draft
αγριος συκη,ἄγριος συκῆ,αγριος συκη,SUBSTANCE:1,true,συκη,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.860,draft
αγριοσελινον,ἀγριοσέλινον,αγριοσελινον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγριοσκορδον,ἀγριόσκορδον,αγριοσκορδον,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.880,draft
αγριοσταφυλιτης,ἀγριοσταφυλίτης,αγριοσταφυλιτης,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγρωστεως ποα,Ἀγρώστεως πόα,αγρωστεως ποα,SUBSTANCE_PART:1,true,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.900,draft
αγρωστεως ριζα,Ἀγρώστεως ῥίζα,αγρωστεως ριζα,SUBSTANCE_PART:1,true,,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.900,draft
αγρωστις,ἄγρωστις,αγρωστις,SUBSTANCE:16,false,,παρνασσος,5,16,16,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.792,draft
αγρωστις παρνασος,ἄγρωστις παρνασός,αγρωστις παρνασος,SUBSTANCE:1,true,αγρωστις,παρνασος,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.700,draft
αγχουσα,ἄγχουσα,αγχουσα,SUBSTANCE:13,false,,,5,13,13,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.828,draft
αγχουσα ετερα,ἄγχουσα ἑτέρα,αγχουσα ετερα,SUBSTANCE:1,true,αγχουσα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αγχουση,ἀγχούση,αγχουση,SUBSTANCE:1,false,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.850,draft
αγχυνωψ,ἀγχύνωψ,αγχυνωψ,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.700,draft
αδαμας,ἀδάμας,αδαμας,SUBSTANCE:2,false,,,2,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen,diosc_full_v3;entries_full_v3,0.740,draft
αδαρκη,ἀδάρκη,αδαρκη,SUBSTANCE:2,false,,,2,2,2,GAL_SMT;PAUL_AEG,Galen;Paul,entries_full_v3;paul_full_v3,0.825,draft
αδαρκης,ἀδάρκης,αδαρκης,SUBSTANCE:2,false,,γαλατια,2,2,2,AET_LM;DIOSC_DMM,Aetius;Dioscorides,diosc_full_v3;entries_full_v3,0.830,draft
αδαρκιον,ἀδάρκιον,αδαρκιον,SUBSTANCE:3,false,,,3,3,3,AET_LM;GAL_SMT;ORIB_CM,Aetius;Galen;Oribasius,entries_full_v3,0.903,draft
αδαρκον,ἄδαρκον,αδαρκον,SUBSTANCE:1,false,,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.720,draft
αδιαντον,ἀδίαντον,αδιαντον,SUBSTANCE:9,false,,,5,9,9,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.927,draft
αδιψον,ἄδιψον,αδιψον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.600,draft
αδριανος,Ἀδριανός,αδριανος,SUBSTANCE:1,false,,σικελια,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
αδυναμος,ἀδύναμος,αδυναμος,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
αειζωον,ἀείζῳον,αειζωον,SUBSTANCE:13,false,,,5,13,13,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.839,draft
αειζωον αγριον,ἀείζῳον ἄγριον,αειζωον αγριον,SUBSTANCE:1,true,αειζωον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.650,draft
αειζωον διττον,ἀείζῳον διττόν,αειζωον διττον,SUBSTANCE:1,true,αειζωον,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.950,draft
αειζωον μεγα,ἀείζωον μέγα,αειζωον μεγα,SUBSTANCE:2,true,αειζωον,,2,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen,diosc_full_v3;entries_full_v3,0.850,draft
αειζωον μικρον,ἀείζωον μικρόν,αειζωον μικρον,SUBSTANCE:2,true,αειζωιον;αειζωον,,2,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen,diosc_full_v3;entries_full_v3,0.825,draft
αειζωον το μικρον,ἀείζωον τὸ μικρόν,αειζωον το μικρον,SUBSTANCE:1,true,αειζωον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.640,draft
αειχλωρον,ἀείχλωρον,αειχλωρον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.700,draft
αερομελι,ἀερόμελι,αερομελι,SUBSTANCE:1,false,,λιβανος,1,1,1,GAL_ALIM,Galen,entries_full_v3,0.900,draft
αερωδης ουσια,ἀερώδης οὐσία,αερωδης ουσια,SUBSTANCE:1,true,ουσια,,1,1,1,ORIB_CM,Oribasius,entries_full_v3,0.700,draft
αετου,ἀετοῦ,αετου,SUBSTANCE_PART:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.800,draft
αετωνυξ,ἀετώνυξ,αετωνυξ,SUBSTANCE:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.700,draft
αετωνυχον,ἀετώνυχον,αετωνυχον,SUBSTANCE:2,false,,,2,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.790,draft
αηρ,ἀήρ,αηρ,SUBSTANCE:6,false,,,4,6,6,DIOSC_DMM;GAL_ALIM;GAL_SMT;ORIB_CM,Dioscorides;Galen;Oribasius,diosc_full_v3;entries_full_v3,0.697,draft
αι δε ριζαι,αἱ δὲ ῥίζαι,αι δε ριζαι,SUBSTANCE_PART:2,false,,,2,2,2,GAL_SMT;PAUL_AEG,Galen;Paul,entries_full_v3;paul_full_v3,0.835,draft
αι δε των εχιδνων κεφαλαι,αἱ δὲ τῶν ἐχιδνῶν κεφαλαὶ,αι δε των εχιδνων κεφαλαι,SUBSTANCE_PART:1,true,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.850,draft
αι ριζαι,αἱ ῥίζαι,αι ριζαι,SUBSTANCE_PART:2,true,,,2,2,2,ORIB_CM;PAUL_AEG,Oribasius;Paul,entries_full_v3;paul_full_v3,0.790,draft
αιγειον,αἴγειον,αιγειον,SUBSTANCE_PART:1,false,,,1,1,1,PAUL_AEG,Paul,paul_full_v3,0.840,draft
αιγειον αιμα,αἴγειον αἷμα,αιγειον αιμα,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.650,draft
αιγειον γαλα,αἴγειον γάλα,αιγειον γαλα,SUBSTANCE:2,true,γαλα,,2,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen,diosc_full_v3;entries_full_v3,0.825,draft
αιγειον στεαρ,αἴγειον στέαρ,αιγειον στεαρ,SUBSTANCE:3,true,στεαρ,,3,3,3,AET_LM;GAL_SMT;ORIB_CM,Aetius;Galen;Oribasius,entries_full_v3,0.767,draft
αιγειος,αἴγειος,αιγειος,SUBSTANCE:4,true,γαλα,,3,4,4,AET_LM;DIOSC_DMM;PAUL_AEG,Aetius;Dioscorides;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.718,draft
αιγειρος,αἴγειρος,αιγειρος,SUBSTANCE:8,false,,,5,8,8,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.835,draft
αιγειρου ανθη,αἰγείρου ἄνθη,αιγειρου ανθη,SUBSTANCE_PART:2,true,,,2,2,2,AET_LM;ORIB_CM,Aetius;Oribasius,entries_full_v3,0.875,draft
αιγιαλειος ιχθυς,αἰγιάλειος ἰχθύς,αιγιαλειος ιχθυς,SUBSTANCE:1,true,ιχθυς,,1,1,1,AET_LM,Aetius,entries_full_v3,0.800,draft
αιγιαλιτις αμμος,αἰγιαλίτις ἄμμος,αιγιαλιτις αμμος,SUBSTANCE:1,true,αμμος,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.750,draft
αιγιλωχαμαιμηλον,αἰγιλώχαμαίμηλον,αιγιλωχαμαιμηλον,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.560,draft
αιγιλωψ,αἰγίλωψ,αιγιλωψ,SUBSTANCE:6,false,,,5,6,6,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.817,draft
αιγοκερας,αἰγόκερας,αιγοκερας,SUBSTANCE:1,false,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.650,draft
αιγος αγριας,αἰγὸς ἀγρίας,αιγος αγριας,SUBSTANCE_PART:1,true,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.780,draft
αιγος ηπαρ,αἰγὸς ἧπαρ,αιγος ηπαρ,SUBSTANCE:1,true,ηπαρ,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.900,draft
αιγος κερας,αἰγὸς κέρας,αιγος κερας,SUBSTANCE_PART:1,true,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.900,draft
αιγυπτια γη,Αἰγυπτία γῆ,αιγυπτια γη,SUBSTANCE:1,true,γη,αιγυπτος,1,1,1,GAL_SMT,Galen,entries_full_v3,0.750,draft
αιγυπτια μαστιχη,Αἰγυπτία μαστίχη,αιγυπτια μαστιχη,SUBSTANCE:1,true,μαστιχη,αιγυπτος,1,1,1,AET_LM,Aetius,entries_full_v3,0.720,draft
αιγυπτιακη ακανθα,αἰγυπτιακὴ ἄκανθα,αιγυπτιακη ακανθα,SUBSTANCE:1,true,ακανθα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.680,draft
αιγυπτιος,Αἰγύπτιος,αιγυπτιος,SUBSTANCE:3,false,,αιγυπτος,3,3,3,AET_LM;DIOSC_DMM;ORIB_CM,Aetius;Dioscorides;Oribasius,diosc_full_v3;entries_full_v3,0.643,draft
αιγυπτιος κυαμος,αἰγύπτιος κύαμος,αιγυπτιος κυαμος,SUBSTANCE:2,true,κυαμος,αιγυπτος,2,2,2,AET_LM;DIOSC_DMM,Aetius;Dioscorides,diosc_full_v3;entries_full_v3,0.785,draft
αιγων κοπρος,αἰγῶν κόπρος,αιγων κοπρος,SUBSTANCE:1,true,κοπρος,,1,1,1,AET_LM,Aetius,entries_full_v3,0.850,draft
αιδοιον αρρενος ελαφου,αἰδοῖον ἄρρενος ἐλάφου,αιδοιον αρρενος ελαφου,SUBSTANCE_PART:2,true,,,2,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.855,draft
αιθαλη,αἰθάλη,αιθαλη,SUBSTANCE:6,false,,,4,6,6,AET_LM;DIOSC_DMM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.842,draft
αιθαλος,αἰθαλός,αιθαλος,SUBSTANCE:2,false,,,2,2,2,GAL_SMT;ORIB_CM,Galen;Oribasius,entries_full_v3,0.860,draft
αιθιοπικη ελαια,Αἰθιοπικὴ ἐλαία,αιθιοπικη ελαια,SUBSTANCE:1,true,ελαια,αιθιοπια,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.860,draft
αιθιοπικον κυμινον,αἰθιοπικὸν κύμινον,αιθιοπικον κυμινον,SUBSTANCE:1,true,κυμινον,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.860,draft
αιθιοπικος σεσελι,Αἰθιοπικός σέσελι,αιθιοπικος σεσελι,SUBSTANCE:1,true,σεσελι,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.840,draft
αιθιοπις,αἰθιοπίς,αιθιοπις,SUBSTANCE:2,false,,,2,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul,diosc_full_v3;paul_full_v3,0.925,draft
αιθυια,αἰθυία,αιθυια,SUBSTANCE:4,false,,,4,4,4,AET_LM;DIOSC_DMM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.725,draft
αιθυιας ηπαρ,αίθυίας ἦπαρ,αιθυιας ηπαρ,SUBSTANCE_PART:1,true,,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αιθυιης κοιλιαν,αἰθυίης κοιλίαν,αιθυιης κοιλιαν,SUBSTANCE_PART:1,true,,,1,1,1,AET_LM,Aetius,entries_full_v3,0.900,draft
αιμα,αἷμα,αιμα,SUBSTANCE:112;SUBSTANCE_PART:3,false,,,5,115,115,AET_LM;DIOSC_DMM;GAL_ALIM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.806,draft
αιμα αιγειον,αἷμα αἴγειον,αιμα αιγειον,SUBSTANCE:1,true,αιμα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.850,draft
αιμα αιγος,αἷμα αἰγός,αιμα αιγος,SUBSTANCE:2,true,αιμα,,2,2,2,AET_LM;GAL_SMT,Aetius;Galen,entries_full_v3,0.875,draft
αιμα αλεκτοριδος,αἷμα ἀλεκτορίδος,αιμα αλεκτοριδος,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.820,draft
αιμα αλεκτρυονος,αἷμα ἀλεκτρύονος,αιμα αλεκτρυονος,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.820,draft
αιμα αρνων,αἷμα ἀρνῶν,αιμα αρνων,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.840,draft
αιμα γλαυκος,αἷμα γλαυκός,αιμα γλαυκος,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.500,draft
αιμα γλαυξ,αἷμα γλαύξ,αιμα γλαυξ,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.780,draft
αιμα εριφου,αἷμα ἐρίφου,αιμα εριφου,SUBSTANCE:1,true,αιμα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.860,draft
αιμα εριφων,αἷμα ἐρίφων,αιμα εριφων,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.860,draft
αιμα λαγωου,αἷμα λαγωοῦ,αιμα λαγωου,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.780,draft
αιμα νησσης,αἷμα νήσσης,αιμα νησσης,SUBSTANCE:1,true,αιμα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.840,draft
αιμα νυκτεριδος,αἷμα νυκτερίδος,αιμα νυκτεριδος,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.900,draft
αιμα περιστερας,αἷμα περιστερᾶς,αιμα περιστερας,SUBSTANCE:2,true,αιμα,,1,2,2,GAL_SMT,Galen,entries_full_v3,0.825,draft
αιμα ταυρου,αἷμα ταύρου,αιμα ταυρου,SUBSTANCE:1,true,αιμα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.900,draft
αιμα υων,αἷμα ὑῶν,αιμα υων,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.720,draft
αιμα φαττης,αἷμα φάττης,αιμα φαττης,SUBSTANCE:1,true,αιμα,,1,1,1,GAL_SMT,Galen,entries_full_v3,0.780,draft
αιμα χηνος,αἷμα χήνος,αιμα χηνος,SUBSTANCE:1,true,αιμα,,1,1,1,DIOSC_DMM,Dioscorides,diosc_full_v3,0.860,draft
αιματιτης,αἱματίτης,αιματιτης,SUBSTANCE:13,false,,,5,13,13,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul,diosc_full_v3;entries_full_v3;paul_full_v3,0.905,draft
