term_key,form_display,form_normalized,count,entry_count,text_sources,author_groups
αγριος,ἄγριος,αγριος,4,4,DIOSC_DMM;GAL_SMT;PAUL_AEG,Dioscorides;Galen;Paul
αγριος ευζωμον,ἄγριος εὔζωμον,αγριος ευζωμον,1,1,DIOSC_DMM,Dioscorides
αγριος ηδυοσμος,ἄγριος ἡδύοσμος,αγριος ηδυοσμος,1,1,PAUL_AEG,Paul
αγριος θερμος,ἄγριος θέρμος,αγριος θερμος,1,1,PAUL_AEG,Paul
αγριος κοκκυμηλον,ἄγριος κοκκύμηλον,αγριος κοκκυμηλον,1,1,PAUL_AEG,Paul
αγριος ναρδος,ἄγριος νάρδος,αγριος ναρδος,1,1,DIOSC_DMM,Dioscorides
αγριος ονος,ἄγριος ὄνος,αγριος ονος,1,1,AET_LM,Aetius
αγριος συκη,ἄγριος συκῆ,αγριος συκη,1,1,PAUL_AEG,Paul
αγριοσελινον,ἀγριοσέλινον,αγριοσελινον,1,1,DIOSC_DMM,Dioscorides
αγριοσκορδον,ἀγριόσκορδον,αγριοσκορδον,1,1,PAUL_AEG,Paul
αγριοσταφυλιτης,ἀγριοσταφυλίτης,αγριοσταφυλιτης,1,1,DIOSC_DMM,Dioscorides
αγρωστεως ποα,Ἀγρώστεως πόα,αγρωστεως ποα,1,1,ORIB_CM,Oribasius
αγρωστεως ριζα,Ἀγρώστεως ῥίζα,αγρωστεως ριζα,1,1,ORIB_CM,Oribasius
αγρωστις,ἀγρώστις,αγρωστις,7,7,AET_LM;DIOSC_DMM;ORIB_CM,Aetius;Dioscorides;Oribasius
αγρωστις,ἄγρωστις,αγρωστις,9,9,DIOSC_DMM;GAL_SMT;PAUL_AEG,Dioscorides;Galen;Paul
αγρωστις παρνασος,ἄγρωστις παρνασός,αγρωστις παρνασος,1,1,PAUL_AEG,Paul
αγχουσα,ἀγχούσα,αγχουσα,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen
αγχουσα,ἄγχουσα,αγχουσα,11,11,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
αγχουσα ετερα,ἄγχουσα ἑτέρα,αγχουσα ετερα,1,1,DIOSC_DMM,Dioscorides
αγχουση,ἀγχούση,αγχουση,1,1,AET_LM,Aetius
αγχυνωψ,ἀγχύνωψ,αγχυνωψ,1,1,DIOSC_DMM,Dioscorides
αδαμας,ἀδάμας,αδαμας,1,1,DIOSC_DMM,Dioscorides
αδαμας,ἀδάμας,αδαμας,1,1,GAL_SMT,Galen
αδαρκη,ἀδάρκη,αδαρκη,1,1,GAL_SMT,Galen
αδαρκη,Ἀδάρκη,αδαρκη,1,1,PAUL_AEG,Paul
αδαρκης,ἀδάρκης,αδαρκης,2,2,AET_LM;DIOSC_DMM,Aetius;Dioscorides
αδαρκιον,ἀδάρκιον,αδαρκιον,2,2,AET_LM;GAL_SMT,Aetius;Galen
αδαρκιον,Ἀδάρκιον,αδαρκιον,1,1,ORIB_CM,Oribasius
αδαρκον,ἄδαρκον,αδαρκον,1,1,GAL_SMT,Galen
αδιαντον,ἀδίαντον,αδιαντον,7,7,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM,Aetius;Dioscorides;Galen;Oribasius
αδιαντον,ἀδίαντον,αδιαντον,1,1,ORIB_CM,Oribasius
αδιαντον,Ἀδίαντον,αδιαντον,1,1,PAUL_AEG,Paul
αδιψον,ἄδιψον,αδιψον,1,1,DIOSC_DMM,Dioscorides
αδριανος,Ἀδριανός,αδριανος,1,1,DIOSC_DMM,Dioscorides
αδυναμος,ἀδύναμος,αδυναμος,1,1,DIOSC_DMM,Dioscorides
αειζωον,ἀείζωον,αειζωον,6,6,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM,Aetius;Dioscorides;Galen;Oribasius
αειζωον,ἀείζῳον,αειζωον,7,7,AET_LM;DIOSC_DMM;PAUL_AEG,Aetius;Dioscorides;Paul
αειζωον αγριον,ἀείζῳον ἄγριον,αειζωον αγριον,1,1,DIOSC_DMM,Dioscorides
αειζωον διττον,ἀείζῳον διττόν,αειζωον διττον,1,1,PAUL_AEG,Paul
αειζωον μεγα,ἀείζωον μέγα,αειζωον μεγα,1,1,GAL_SMT,Galen
αειζωον μεγα,ἀείζῳον μέγα,αειζωον μεγα,1,1,DIOSC_DMM,Dioscorides
αειζωον μικρον,ἀείζωον μικρόν,αειζωον μικρον,1,1,GAL_SMT,Galen
αειζωον μικρον,ἀείζῳον μικρόν,αειζωον μικρον,1,1,DIOSC_DMM,Dioscorides
αειζωον το μικρον,ἀείζωον τὸ μικρόν,αειζωον το μικρον,1,1,DIOSC_DMM,Dioscorides
αειχλωρον,ἀείχλωρον,αειχλωρον,1,1,DIOSC_DMM,Dioscorides
αερομελι,ἀερόμελι,αερομελι,1,1,GAL_ALIM,Galen
αερωδης ουσια,ἀερώδης οὐσία,αερωδης ουσια,1,1,ORIB_CM,Oribasius
αετου,ἀετοῦ,αετου,1,1,DIOSC_DMM,Dioscorides
αετωνυξ,ἀετώνυξ,αετωνυξ,1,1,PAUL_AEG,Paul
αετωνυχον,ἀετώνυχον,αετωνυχον,1,1,DIOSC_DMM,Dioscorides
αετωνυχον,Ἀετώνυχον,αετωνυχον,1,1,PAUL_AEG,Paul
αηρ,ἀήρ,αηρ,5,5,DIOSC_DMM;GAL_ALIM;GAL_SMT;ORIB_CM,Dioscorides;Galen;Oribasius
αηρ,ἀήρ,αηρ,1,1,GAL_SMT,Galen
αι δε ριζαι,αἱ δὲ ῥίζαι,αι δε ριζαι,2,2,GAL_SMT;PAUL_AEG,Galen;Paul
αι δε των εχιδνων κεφαλαι,αἱ δὲ τῶν ἐχιδνῶν κεφαλαὶ,αι δε των εχιδνων κεφαλαι,1,1,AET_LM,Aetius
αι ριζαι,αἱ ῥίζαι,αι ριζαι,2,2,ORIB_CM;PAUL_AEG,Oribasius;Paul
αιγειον,αἴγειον,αιγειον,1,1,PAUL_AEG,Paul
αιγειον αιμα,αἴγειον αἷμα,αιγειον αιμα,1,1,GAL_SMT,Galen
αιγειον γαλα,αἴγειον γάλα,αιγειον γαλα,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen
αιγειον στεαρ,αἴγειον στέαρ,αιγειον στεαρ,2,2,AET_LM;ORIB_CM,Aetius;Oribasius
αιγειον στεαρ,αἴγειον στέαρ,αιγειον στεαρ,1,1,GAL_SMT,Galen
αιγειος,αἴγειος,αιγειος,4,4,AET_LM;DIOSC_DMM;PAUL_AEG,Aetius;Dioscorides;Paul
αιγειρος,αἴγειρος,αιγειρος,8,8,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
αιγειρου ανθη,Αἰγείρου ἄνθη,αιγειρου ανθη,1,1,ORIB_CM,Oribasius
αιγειρου ανθη,αἰγείρου ἄνθη,αιγειρου ανθη,1,1,AET_LM,Aetius
αιγιαλειος ιχθυς,αἰγιάλειος ἰχθύς,αιγιαλειος ιχθυς,1,1,AET_LM,Aetius
αιγιαλιτις αμμος,αἰγιαλίτις ἄμμος,αιγιαλιτις αμμος,1,1,DIOSC_DMM,Dioscorides
αιγιλωχαμαιμηλον,αἰγιλώχαμαίμηλον,αιγιλωχαμαιμηλον,1,1,DIOSC_DMM,Dioscorides
αιγιλωψ,Αἰγίλωψ,αιγιλωψ,1,1,ORIB_CM,Oribasius
αιγιλωψ,αἰγίλωψ,αιγιλωψ,4,4,AET_LM;DIOSC_DMM;GAL_SMT,Aetius;Dioscorides;Galen
αιγιλωψ,αἰγίλωψ,αιγιλωψ,1,1,PAUL_AEG,Paul
αιγοκερας,αἰγόκερας,αιγοκερας,1,1,DIOSC_DMM,Dioscorides
αιγος αγριας,αἰγὸς ἀγρίας,αιγος αγριας,1,1,DIOSC_DMM,Dioscorides
αιγος ηπαρ,αἰγὸς ἧπαρ,αιγος ηπαρ,1,1,GAL_SMT,Galen
αιγος κερας,αἰγὸς κέρας,αιγος κερας,1,1,AET_LM,Aetius
αιγυπτια γη,Αἰγυπτία γῆ,αιγυπτια γη,1,1,GAL_SMT,Galen
αιγυπτια μαστιχη,Αἰγυπτία μαστίχη,αιγυπτια μαστιχη,1,1,AET_LM,Aetius
αιγυπτιακη ακανθα,αἰγυπτιακὴ ἄκανθα,αιγυπτιακη ακανθα,1,1,DIOSC_DMM,Dioscorides
αιγυπτιος,Αἰγύπτιος,αιγυπτιος,2,2,DIOSC_DMM;ORIB_CM,Dioscorides;Oribasius
αιγυπτιος,αἰγύπτιος,αιγυπτιος,1,1,AET_LM,Aetius
αιγυπτιος κυαμος,Αἰγύπτιος κύαμος,αιγυπτιος κυαμος,1,1,DIOSC_DMM,Dioscorides
αιγυπτιος κυαμος,αἰγύπτιος κύαμος,αιγυπτιος κυαμος,1,1,AET_LM,Aetius
αιγων κοπρος,αἰγῶν κόπρος,αιγων κοπρος,1,1,AET_LM,Aetius
αιδοιον αρρενος ελαφου,Αἰδοῖον ἄρρενος ἐλάφου,αιδοιον αρρενος ελαφου,1,1,PAUL_AEG,Paul
αιδοιον αρρενος ελαφου,αἰδοῖον ἄρρενος ἐλάφου,αιδοιον αρρενος ελαφου,1,1,DIOSC_DMM,Dioscorides
αιθαλη,αἰθάλη,αιθαλη,5,5,AET_LM;DIOSC_DMM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul
αιθαλη,αἰθάλη,αιθαλη,1,1,PAUL_AEG,Paul
αιθαλος,αἰθαλός,αιθαλος,1,1,GAL_SMT,Galen
αιθαλος,αἴθαλος,αιθαλος,1,1,ORIB_CM,Oribasius
αιθιοπικη ελαια,Αἰθιοπικὴ ἐλαία,αιθιοπικη ελαια,1,1,DIOSC_DMM,Dioscorides
αιθιοπικον κυμινον,αἰθιοπικὸν κύμινον,αιθιοπικον κυμινον,1,1,DIOSC_DMM,Dioscorides
αιθιοπικος σεσελι,Αἰθιοπικός σέσελι,αιθιοπικος σεσελι,1,1,DIOSC_DMM,Dioscorides
αιθιοπις,Αἰθιοπίς,αιθιοπις,1,1,PAUL_AEG,Paul
αιθιοπις,αἰθιοπίς,αιθιοπις,1,1,DIOSC_DMM,Dioscorides
αιθυια,αἰθυία,αιθυια,3,3,AET_LM;GAL_SMT;PAUL_AEG,Aetius;Galen;Paul
αιθυια,αἴθυια,αιθυια,1,1,DIOSC_DMM,Dioscorides
αιθυιας ηπαρ,αίθυίας ἦπαρ,αιθυιας ηπαρ,1,1,DIOSC_DMM,Dioscorides
αιθυιης κοιλιαν,αἰθυίης κοιλίαν,αιθυιης κοιλιαν,1,1,AET_LM,Aetius
αιμα,αἷμα,αιμα,115,115,AET_LM;DIOSC_DMM;GAL_ALIM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul
αιμα αιγειον,αἷμα αἴγειον,αιμα αιγειον,1,1,DIOSC_DMM,Dioscorides
αιμα αιγος,αἷμα αἰγός,αιμα αιγος,2,2,AET_LM;GAL_SMT,Aetius;Galen
αιμα αλεκτοριδος,αἷμα ἀλεκτορίδος,αιμα αλεκτοριδος,1,1,GAL_SMT,Galen
αιμα αλεκτρυονος,αἷμα ἀλεκτρύονος,αιμα αλεκτρυονος,1,1,GAL_SMT,Galen
αιμα αρνων,αἷμα ἀρνῶν,αιμα αρνων,1,1,GAL_SMT,Galen
αιμα γλαυκος,αἷμα γλαυκός,αιμα γλαυκος,1,1,GAL_SMT,Galen
αιμα γλαυξ,αἷμα γλαύξ,αιμα γλαυξ,1,1,GAL_SMT,Galen
αιμα εριφου,αἷμα ἐρίφου,αιμα εριφου,1,1,DIOSC_DMM,Dioscorides
αιμα εριφων,αἷμα ἐρίφων,αιμα εριφων,1,1,GAL_SMT,Galen
αιμα λαγωου,αἷμα λαγωοῦ,αιμα λαγωου,1,1,GAL_SMT,Galen
αιμα νησσης,αἷμα νήσσης,αιμα νησσης,1,1,DIOSC_DMM,Dioscorides
αιμα νυκτεριδος,αἷμα νυκτερίδος,αιμα νυκτεριδος,1,1,GAL_SMT,Galen
αιμα περιστερας,αἷμα περιστεράς,αιμα περιστερας,1,1,GAL_SMT,Galen
αιμα περιστερας,αἷμα περιστερᾶς,αιμα περιστερας,1,1,GAL_SMT,Galen
αιμα ταυρου,αἷμα ταύρου,αιμα ταυρου,1,1,DIOSC_DMM,Dioscorides
αιμα υων,αἷμα ὑῶν,αιμα υων,1,1,GAL_SMT,Galen
αιμα φαττης,αἷμα φάττης,αιμα φαττης,1,1,GAL_SMT,Galen
αιμα χηνος,αἷμα χήνος,αιμα χηνος,1,1,DIOSC_DMM,Dioscorides
αιματιτης,αιματιτης,αιματιτης,1,1,PAUL_AEG,Paul
αιματιτης,αἱματίτης,αιματιτης,11,11,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM,Aetius;Dioscorides;Galen;Oribasius
αιματιτης,αἱματίτης,αιματιτης,1,1,GAL_SMT,Galen
αιματιτης λιθος,αἱματίτης λίθος,αιματιτης λιθος,5,5,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM,Aetius;Dioscorides;Galen;Oribasius
αιματος θρομβους,αἵματος θρόμβους,αιματος θρομβους,1,1,DIOSC_DMM,Dioscorides
αιματωδης,αἱματώδης,αιματωδης,1,1,PAUL_AEG,Paul
αιξ,αἴξ,αιξ,6,6,AET_LM;DIOSC_DMM;GAL_SMT;PAUL_AEG,Aetius;Dioscorides;Galen;Paul
αιπα,αἶπα,αιπα,1,1,DIOSC_DMM,Dioscorides
αιρα,αἴρα,αιρα,5,5,DIOSC_DMM;GAL_ALIM;GAL_SMT;ORIB_CM;PAUL_AEG,Dioscorides;Galen;Oribasius;Paul
αιρα,αἶρα,αιρα,2,2,AET_LM;PAUL_AEG,Aetius;Paul
αιρεινος αλευρον,αἴρεινος ἄλευρον,αιρεινος αλευρον,1,1,DIOSC_DMM,Dioscorides
αιρινον αλευρον,αἰρῖνον ἄλευρον,αιρινον αλευρον,2,2,DIOSC_DMM;GAL_SMT,Dioscorides;Galen
αιρινον αλευρον,αἴρινον ἄλευρον,αιρινον αλευρον,4,4,DIOSC_DMM;GAL_SMT,Dioscorides;Galen
ακαιρος,ἄκαιρος,ακαιρος,1,1,DIOSC_DMM,Dioscorides
ακακαλλις,ἀκακαλλίς,ακακαλλις,1,1,DIOSC_DMM,Dioscorides
ακακια,ἀκακία,ακακια,13,13,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
ακαληφη,ἀκαλήφη,ακαληφη,7,7,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
ακαληφη θαλασσια,ἀκαλήφη θαλάσσια,ακαληφη θαλασσια,1,1,DIOSC_DMM,Dioscorides
ακαληφη θαλαττια,ἀκαλήφη θαλάττια,ακαληφη θαλαττια,1,1,GAL_SMT,Galen
ακαληφης καρπος,Ἀκαλήφης καρπός,ακαληφης καρπος,1,1,AET_LM,Aetius
ακαληφης φυλλα,Ἀκαλήφης φύλλα,ακαληφης φυλλα,1,1,AET_LM,Aetius
ακαλλις,ἀκαλλίς,ακαλλις,1,1,PAUL_AEG,Paul
ακαλυφη,ἀκαλύφη,ακαλυφη,1,1,GAL_SMT,Galen
ακανθα,ἄκανθα,ακανθα,19,19,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
ακανθα αιγυπτια,ἄκανθα Αἰγυπτία,ακανθα αιγυπτια,1,1,ORIB_CM,Oribasius
ακανθα αιγυπτια,ἄκανθα αἰγυπτία,ακανθα αιγυπτια,1,1,AET_LM,Aetius
ακανθα αιγυπτια,ἄκανθα αἰγυπτία,ακανθα αιγυπτια,1,1,PAUL_AEG,Paul
ακανθα αραβικη,ἄκανθα ἀραβική,ακανθα αραβικη,1,1,PAUL_AEG,Paul
ακανθα αραβικη,ἄκανθα Ἀραβική,ακανθα αραβικη,1,1,DIOSC_DMM,Dioscorides
ακανθα λευκη,ἄκανθα λευκή,ακανθα λευκη,6,6,AET_LM;DIOSC_DMM;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Oribasius;Paul
ακανθαι,ἄκανθαι,ακανθαι,1,1,DIOSC_DMM,Dioscorides
ακανθαις,ἀκάνθαις,ακανθαις,1,1,DIOSC_DMM,Dioscorides
ακανθαν,ἄκανθαν,ακανθαν,2,2,DIOSC_DMM,Dioscorides
ακανθας,ἀκάνθας,ακανθας,3,3,DIOSC_DMM,Dioscorides
ακανθη,ἀκάνθη,ακανθη,1,1,PAUL_AEG,Paul
ακανθης,ἀκάνθης,ακανθης,1,1,DIOSC_DMM,Dioscorides
ακανθια,ἀκάνθια,ακανθια,2,2,DIOSC_DMM,Dioscorides
ακανθινον ξυλον,ἀκάνθινον ξύλον,ακανθινον ξυλον,1,1,DIOSC_DMM,Dioscorides
ακανθιον,ἀκάνθιον,ακανθιον,3,3,DIOSC_DMM;GAL_SMT;PAUL_AEG,Dioscorides;Galen;Paul
ακανθιον,ἄκανθιον,ακανθιον,1,1,ORIB_CM,Oribasius
ακανθιου η ριζα,Ἀκανθίου ἡ ῥίζα,ακανθιου η ριζα,1,1,ORIB_CM,Oribasius
ακανθιου φυλλα,Ἀκανθίου φύλλα,ακανθιου φυλλα,1,1,ORIB_CM,Oribasius
ακανθος,ἄκανθος,ακανθος,7,7,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
ακανθος αιγυπτια,ἄκανθος Αἰγυπτία,ακανθος αιγυπτια,1,1,GAL_SMT,Galen
ακανθος λευκη,ἄκανθος λευκή,ακανθος λευκη,2,2,GAL_SMT,Galen
ακαυστος,ἄκαυστος,ακαυστος,1,1,AET_LM,Aetius
ακεραιος θαλασσα,ἀκέραιος θάλασσα,ακεραιος θαλασσα,1,1,DIOSC_DMM,Dioscorides
ακεραιος μολυβδος,ἀκέραιος μόλυβδος,ακεραιος μολυβδος,1,1,DIOSC_DMM,Dioscorides
ακιδωτον,ἀκιδωτόν,ακιδωτον,1,1,DIOSC_DMM,Dioscorides
ακινος,ἄκινος,ακινος,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul
ακις,ἀκίς,ακις,1,1,GAL_SMT,Galen
ακις,ἀκίς,ακις,1,1,PAUL_AEG,Paul
ακνηστον,ἄκνηστον,ακνηστον,1,1,DIOSC_DMM,Dioscorides
ακονη,ἀκόνη,ακονη,4,4,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM,Aetius;Dioscorides;Galen;Oribasius
ακονη ναξια,ἀκόνη Ναξία,ακονη ναξια,1,1,DIOSC_DMM,Dioscorides
ακονιτον,ἀκόνιτον,ακονιτον,17,17,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
ακονιτον,ἀκόνιτον,ακονιτον,2,2,AET_LM;PAUL_AEG,Aetius;Paul
ακονιτον ετερον,ἀκόνιτον ἕτερον,ακονιτον ετερον,1,1,DIOSC_DMM,Dioscorides
ακονος,ἄκονος,ακονος,1,1,DIOSC_DMM,Dioscorides
ακοπον,ἄκοπον,ακοπον,1,1,DIOSC_DMM,Dioscorides
ακορον,ἄκορον,ακορον,8,8,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
ακορος,ἄκορος,ακορος,6,6,AET_LM;DIOSC_DMM;GAL_SMT;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Galen;Oribasius;Paul
ακορου ριζα,ἀκόρου ῥίζα,ακορου ριζα,1,1,AET_LM,Aetius
ακρατος,ἄκρατος,ακρατος,3,3,AET_LM;DIOSC_DMM,Aetius;Dioscorides
ακρατος θερμος,ἄκρατος θερμός,ακρατος θερμος,1,1,AET_LM,Aetius
ακρεμονας,ἀκρεμόνας,ακρεμονας,1,1,DIOSC_DMM,Dioscorides
ακρεμονας,ἀκρέμονας,ακρεμονας,2,1,GAL_ALIM,Galen
ακρεμονες,ἀκρεμόνες,ακρεμονες,2,2,DIOSC_DMM,Dioscorides
ακρεμονες,ἀκρεμόνες,ακρεμονες,2,2,AET_LM;PAUL_AEG,Aetius;Paul
ακρεμονες,ἀκρέμονες,ακρεμονες,4,4,GAL_SMT;ORIB_CM,Galen;Oribasius
ακρεμονων,ἀκρεμόνων,ακρεμονων,1,1,DIOSC_DMM,Dioscorides
ακρεμονων,ἀκρεμόνων,ακρεμονων,2,2,AET_LM;GAL_SMT,Aetius;Galen
ακρεμοσι,ἀκρεμόσι,ακρεμοσι,1,1,DIOSC_DMM,Dioscorides
ακρεμοσιν,ἀκρέμοσιν,ακρεμοσιν,1,1,ORIB_CM,Oribasius
ακρεμοσιν,ἀκρέμοσιν,ακρεμοσιν,1,1,GAL_SMT,Galen
ακρις,ἀκρίς,ακρις,2,2,DIOSC_DMM;PAUL_AEG,Dioscorides;Paul
ακρις τρωξαλλις,ἀκρίς τρωξαλλίς,ακρις τρωξαλλις,1,1,DIOSC_DMM,Dioscorides
ακροσπελλος,ἀκρόσπελλος,ακροσπελλος,1,1,DIOSC_DMM,Dioscorides
ακτη,ἀκτή,ακτη,7,7,AET_LM;DIOSC_DMM;ORIB_CM;PAUL_AEG,Aetius;Dioscorides;Oribasius;Paul
ακτη,ἄκτη,ακτη,1,1,GAL_SMT,Galen
