occurrence_id,term_key,entry_id,text_source,author_group,result_run,entry_ref,chapter_title_gr,display,lemma_gr,label,normalized,lemma_normalized,is_multiword,head_lemma_normalized,substance_lemma_normalized,part_lemma_normalized,variant_place_lemma_normalized,confidence,lemma_confidence,result_file,applies_to_kind,applies_to_lemma_normalized,applies_to_substance_lemma_normalized,applies_to_part_lemma_normalized
entries_full_v3:AET_LM-1.100:24,λυχνιαιον,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,λυχνιαῖον,λυχνιαῖον,SUBSTANCE,λυχνιαιον,λυχνιαιον,false,,,,,0.700,0.550,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:25,ομφακινον,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,ὀμφάκινον,ὀμφάκινον,SUBSTANCE,ομφακινον,ομφακινον,false,,,,,0.850,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:26,σαβινος,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,σαβῖνον,σαβῖνος,SUBSTANCE,σαβινον,σαβινος,false,,,,,0.600,0.550,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:27,φαρμακον,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,φαρμάκων,φάρμακον,SUBSTANCE,φαρμακων,φαρμακον,false,,,,,0.550,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:28,χυμος,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,χυμοῦ,χυμός,SUBSTANCE,χυμου,χυμος,false,,,,,0.600,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:29,ωμοτριβες,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,ὠμοτριβὲς,ὠμοτριβές,SUBSTANCE,ωμοτριβες,ωμοτριβες,false,,,,,0.700,0.600,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.100:30,καρπου ελαιας,AET_LM-1.100,AET_LM,Aetius,entries_full_v3,1.100,ἔλαιον,καρποῦ ἐλαίας,,SUBSTANCE_PART,καρπου ελαιας,,true,,ελαια,καρπος,,0.850,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.100.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:10,ελαιον,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,ἔλαιον,ἔλαιον,SUBSTANCE,ελαιον,ελαιον,false,,,,,0.950,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:11,ελαιον κικινον,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,ἔλαιον κίκινον,ἔλαιον κίκινον,SUBSTANCE,ελαιον κικινον,ελαιον κικινον,true,ελαιον,,,,0.950,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:12,ελαιον παλαιον,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,παλαιὸν ἔλαιον,ἔλαιον παλαιόν,SUBSTANCE,παλαιον ελαιον,ελαιον παλαιον,true,ελαιον,,,,0.750,0.800,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:13,κικις,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,κίκεως,κίκις,SUBSTANCE,κικεως,κικις,false,,,,,0.800,0.750,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:14,κροτων,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,κρότωνες,κρότων,SUBSTANCE,κροτωνες,κροτων,false,,,,,0.650,0.600,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:15,ραφανινος,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,ῥαφανίνῳ,ῥαφανῖνος,SUBSTANCE,ραφανινω,ραφανινος,false,,,,,0.600,0.700,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:16,υδωρ,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,ὕδατος,ὕδωρ,SUBSTANCE,υδατος,υδωρ,false,,,,,0.900,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:17,υδωρ θερμον,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,ὕδατος θερμοῦ,ὕδωρ θερμόν,SUBSTANCE,υδατος θερμου,υδωρ θερμον,true,υδωρ,,,,0.850,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.101:18,σπερματος της κικεως,AET_LM-1.101,AET_LM,Aetius,entries_full_v3,1.101,ἔλαιον κίκινον,σπέρματος τῆς κίκεως,,SUBSTANCE_PART,σπερματος της κικεως,,true,,κικις,σπερμα,,0.900,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.101.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.102:1,ελαιον,AET_LM-1.102,AET_LM,Aetius,entries_full_v3,1.102,ἔλ. λινοσπέρμινον,ἔλαιον,ἔλαιον,SUBSTANCE,ελαιον,ελαιον,false,,,,,0.850,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.102.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.102:2,κικινος,AET_LM-1.102,AET_LM,Aetius,entries_full_v3,1.102,ἔλ. λινοσπέρμινον,κίκινον,κίκινος,SUBSTANCE,κικινον,κικινος,false,,,,,0.750,0.700,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.102.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.102:3,λινοσπερμινος,AET_LM-1.102,AET_LM,Aetius,entries_full_v3,1.102,ἔλ. λινοσπέρμινον,λινοσπέρμινον,λινοσπέρμινος,SUBSTANCE,λινοσπερμινον,λινοσπερμινος,false,,,,,0.700,0.600,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.102.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.102:4,λινοσπερμον,AET_LM-1.102,AET_LM,Aetius,entries_full_v3,1.102,ἔλ. λινοσπέρμινον,λινοσπέρμου,λινοσπέρμον,SUBSTANCE,λινοσπερμου,λινοσπερμον,false,,,,,0.800,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.102.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.103:1,κικινον,AET_LM-1.103,AET_LM,Aetius,entries_full_v3,1.103,ῥαφάνινον ἔλαιον,κικίνῳ,κίκινον,SUBSTANCE,κικινω,κικινον,false,,,,,0.700,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.103.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.103:2,ραφανινον,AET_LM-1.103,AET_LM,Aetius,entries_full_v3,1.103,ῥαφάνινον ἔλαιον,ῥαφάνινον,ῥαφάνινον,SUBSTANCE,ραφανινον,ραφανινον,false,,,,,0.850,0.750,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.103.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.104:13,ελαιον,AET_LM-1.104,AET_LM,Aetius,entries_full_v3,1.104,ἔλ. αἰγείρινον,ἐλαίου,ἔλαιον,SUBSTANCE,ελαιου,ελαιον,false,,,,,0.900,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.104.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.104:14,ελαιον γλυκυ,AET_LM-1.104,AET_LM,Aetius,entries_full_v3,1.104,ἔλ. αἰγείρινον,ἐλαίου γλυκέος,ἔλαιον γλυκύ,SUBSTANCE,ελαιου γλυκεος,ελαιον γλυκυ,true,ελαιον,,,,0.800,0.750,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.104.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.104:15,ρητινη,AET_LM-1.104,AET_LM,Aetius,entries_full_v3,1.104,ἔλ. αἰγείρινον,ῥητίνη,ῥητίνη,SUBSTANCE,ρητινη,ρητινη,false,,,,,0.900,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.104.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.105:9,αμυγδαλη,AET_LM-1.105,AET_LM,Aetius,entries_full_v3,1.105,ἔλ. ἀμυγδάλινον,ἀμυγδάλων,ἀμυγδάλη,SUBSTANCE,αμυγδαλων,αμυγδαλη,false,,,,,0.850,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.105.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.105:10,αμυγδαλη πικρα,AET_LM-1.105,AET_LM,Aetius,entries_full_v3,1.105,ἔλ. ἀμυγδάλινον,πικρῶν ἀμυγδάλων,ἀμυγδάλη πικρά,SUBSTANCE,πικρων αμυγδαλων,αμυγδαλη πικρα,true,αμυγδαλη,,,,0.800,0.800,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.105.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.105:11,παχυ πνευμα,AET_LM-1.105,AET_LM,Aetius,entries_full_v3,1.105,ἔλ. ἀμυγδάλινον,παχέος πνεύματος,παχὺ πνεῦμα,SUBSTANCE,παχεος πνευματος,παχυ πνευμα,true,πνευμα,,,,0.750,0.750,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.105.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.105:12,πνευμα,AET_LM-1.105,AET_LM,Aetius,entries_full_v3,1.105,ἔλ. ἀμυγδάλινον,πνεύματος,πνεῦμα,SUBSTANCE,πνευματος,πνευμα,false,,,,,0.800,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.105.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.105:13,του καρπου των πικρων αμυγδαλων,AET_LM-1.105,AET_LM,Aetius,entries_full_v3,1.105,ἔλ. ἀμυγδάλινον,τοῦ καρποῦ τῶν πικρῶν ἀμυγδάλων,,SUBSTANCE_PART,του καρπου των πικρων αμυγδαλων,,true,,αμυγδαλη πικρα,καρπος,,0.780,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.105.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.106:9,ζεον υδωρ,AET_LM-1.106,AET_LM,Aetius,entries_full_v3,1.106,ἔλ. καρύινον,ζέον ὕδωρ,ζέον ὕδωρ,SUBSTANCE,ζεον υδωρ,ζεον υδωρ,true,υδωρ,,,,0.850,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.106.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.106:10,υδωρ,AET_LM-1.106,AET_LM,Aetius,entries_full_v3,1.106,ἔλ. καρύινον,ὕδωρ,ὕδωρ,SUBSTANCE,υδωρ,υδωρ,false,,,,,0.950,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.106.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.107:13,μυροβαλανος,AET_LM-1.107,AET_LM,Aetius,entries_full_v3,1.107,ἔλ. μυροβαλάνινον,μυροβαλάνου,μυροβάλανος,SUBSTANCE,μυροβαλανου,μυροβαλανος,false,,,,,0.750,0.750,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.107.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.107:14,στεαρ,AET_LM-1.107,AET_LM,Aetius,entries_full_v3,1.107,ἔλ. μυροβαλάνινον,στέατος,στέαρ,SUBSTANCE,στεατος,στεαρ,false,,,,,0.850,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.107.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.107:15,στεαρ χηνειον,AET_LM-1.107,AET_LM,Aetius,entries_full_v3,1.107,ἔλ. μυροβαλάνινον,στέατος χηνείου,στέαρ χήνειον,SUBSTANCE,στεατος χηνειου,στεαρ χηνειον,true,στεαρ,,,,0.900,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.107.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:35,αλευρον,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,ἀλεύροις,ἄλευρον,SUBSTANCE,αλευροις,αλευρον,false,,,,,0.850,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:36,δαφνη,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,δάφνης,δάφνη,SUBSTANCE,δαφνης,δαφνη,false,,,,,0.950,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:37,δαφνις,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,δαφνίδων,δαφνίς,SUBSTANCE,δαφνιδων,δαφνις,false,,,,,0.600,0.600,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:38,ελαιον,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,ἔλαιον,ἔλαιον,SUBSTANCE,ελαιον,ελαιον,false,,,,,0.850,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:39,μελι,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,μέλιτι,μέλι,SUBSTANCE,μελιτι,μελι,false,,,,,0.950,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:40,πεπεμμενον ελαιον,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,πεπεμμένων ἐλαίων,πεπεμμένον ἔλαιον,SUBSTANCE,πεπεμμενων ελαιων,πεπεμμενον ελαιον,true,ελαιον,,,,0.750,0.700,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:41,τηλις αλευρον,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,τήλεως ἀλεύροις,τῆλις ἄλευρον,SUBSTANCE,τηλεως αλευροις,τηλις αλευρον,true,αλευρον,,,,0.750,0.600,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:42,ωον,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,ὠῷ,ὠόν,SUBSTANCE,ωω,ωον,false,,,,,0.950,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:43,εκ του καρπου της δαφνης,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,ἐκ τοῦ καρποῦ τῆς δάφνης,,SUBSTANCE_PART,εκ του καρπου της δαφνης,,true,,δαφνη,καρπος,,0.900,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.108:44,του καρπου των δαφνιδων,AET_LM-1.108,AET_LM,Aetius,entries_full_v3,1.108,ἔλ. δάφνινον,τοῦ καρποῦ τῶν δαφνίδων,,SUBSTANCE_PART,του καρπου των δαφνιδων,,true,,δαφνις,καρπος,,0.750,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.108.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.109:16,ελαιον,AET_LM-1.109,AET_LM,Aetius,entries_full_v3,1.109,ἔλ. σησάμινον,ἐλαίου,ἔλαιον,SUBSTANCE,ελαιου,ελαιον,false,,,,,0.780,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.109.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.109:17,γλυκυ ελαιον,AET_LM-1.109,AET_LM,Aetius,entries_full_v3,1.109,ἔλ. σησάμινον,γλυκέος ἐλαίου,γλυκὺ ἔλαιον,SUBSTANCE,γλυκεος ελαιου,γλυκυ ελαιον,true,ελαιον,,,,0.660,0.720,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.109.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.109:18,κοινον ελαιον,AET_LM-1.109,AET_LM,Aetius,entries_full_v3,1.109,ἔλ. σησάμινον,κοινοῦ ἐλαίου,κοινὸν ἔλαιον,SUBSTANCE,κοινου ελαιου,κοινον ελαιον,true,ελαιον,,,,0.640,0.720,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.109.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.109:19,σησαμινον,AET_LM-1.109,AET_LM,Aetius,entries_full_v3,1.109,ἔλ. σησάμινον,σησάμινον,σησάμινον,SUBSTANCE,σησαμινον,σησαμινον,false,,,,,0.820,0.720,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.109.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.109:20,σησαμον,AET_LM-1.109,AET_LM,Aetius,entries_full_v3,1.109,ἔλ. σησάμινον,σησάμου,σήσαμον,SUBSTANCE,σησαμου,σησαμον,false,,,,,0.780,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.109.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.109:21,υδωρ,AET_LM-1.109,AET_LM,Aetius,entries_full_v3,1.109,ἔλ. σησάμινον,ὕδατι,ὕδωρ,SUBSTANCE,υδατι,υδωρ,false,,,,,0.750,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.109.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.11:5,αιγειρος,AET_LM-1.11,AET_LM,Aetius,entries_full_v3,1.11,αἴγειρος,αἰγείρου,αἴγειρος,SUBSTANCE,αιγειρου,αιγειρος,false,,,,,0.850,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.11.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.11:6,ρητινη,AET_LM-1.11,AET_LM,Aetius,entries_full_v3,1.11,αἴγειρος,ῥητίνη,ῥητίνη,SUBSTANCE,ρητινη,ρητινη,false,,,,,0.800,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.11.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.11:7,αιγειρου ανθη,AET_LM-1.11,AET_LM,Aetius,entries_full_v3,1.11,αἴγειρος,αἰγείρου ἄνθη,,SUBSTANCE_PART,αιγειρου ανθη,,true,,αιγειρος,ανθος,,0.850,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.11.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.110:19,ελαιον,AET_LM-1.110,AET_LM,Aetius,entries_full_v3,1.110,ἔλ. σχίνινον,ἐλαίαις,ἔλαιον,SUBSTANCE,ελαιαις,ελαιον,false,,,,,0.720,0.720,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.110.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.110:20,σχινος,AET_LM-1.110,AET_LM,Aetius,entries_full_v3,1.110,ἔλ. σχίνινον,σχίνου,σχῖνος,SUBSTANCE,σχινου,σχινος,false,,,,,0.900,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.110.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.110:21,του καρπου της σχινου,AET_LM-1.110,AET_LM,Aetius,entries_full_v3,1.110,ἔλ. σχίνινον,τοῦ καρποῦ τῆς σχίνου,,SUBSTANCE_PART,του καρπου της σχινου,,true,,σχινος,καρπος,,0.900,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.110.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.111:12,αμπελος,AET_LM-1.111,AET_LM,Aetius,entries_full_v3,1.111,ἔλ. οἰνάνθινον,ἀμπέλου,ἄμπελος,SUBSTANCE,αμπελου,αμπελος,false,,,,,0.900,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.111.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.111:13,ελαιον,AET_LM-1.111,AET_LM,Aetius,entries_full_v3,1.111,ἔλ. οἰνάνθινον,ἐλαίῳ,ἔλαιον,SUBSTANCE,ελαιω,ελαιον,false,,,,,0.950,0.950,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.111.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.111:14,ελαιον ομφακινον,AET_LM-1.111,AET_LM,Aetius,entries_full_v3,1.111,ἔλ. οἰνάνθινον,ἐλαίῳ ὀμφακίνῳ,ἔλαιον ὀμφακῖνον,SUBSTANCE,ελαιω ομφακινω,ελαιον ομφακινον,true,ελαιον,,,,0.900,0.850,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.111.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.111:15,οινανθην αμπελου,AET_LM-1.111,AET_LM,Aetius,entries_full_v3,1.111,ἔλ. οἰνάνθινον,οἰνάνθην ἀμπέλου,,SUBSTANCE_PART,οινανθην αμπελου,,true,,αμπελος,οινανθη,,0.900,0.000,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.111.json,UNSPECIFIED,,,
entries_full_v3:AET_LM-1.112:30,αψινθιον,AET_LM-1.112,AET_LM,Aetius,entries_full_v3,1.112,ἔλ. μήλινον,ἀψίνθιον,ἀψίνθιον,SUBSTANCE,αψινθιον,αψινθιον,false,,,,,0.800,0.900,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.112.json,PREPARATION,μηλινον,,
entries_full_v3:AET_LM-1.112:31,ελαιον,AET_LM-1.112,AET_LM,Aetius,entries_full_v3,1.112,ἔλ. μήλινον,ἐλαίου,ἔλαιον,SUBSTANCE,ελαιου,ελαιον,false,,,,,0.860,0.920,outputs/vocab_entries_v3/entries_full_v3/results/AET_LM-1.112.json,UNSPECIFIED,,,
